UUUUU UUUUU UUUUU
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00000 00100 11011
00000 00100 11011
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
01000 00000 10111
00000 01000 10111
00000 01000 10111
10000 00000 01111
10000 00000 01111
10000 00000 01111
10000 00000 01111
10000 00000 01111
10000 00000 01111
10000 00000 01111
10000 00000 01111
10000 00000 01111
10000 00000 01111
10000 00000 01111
10000 00000 01111
00000 10000 01111
00000 10000 01111
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00001 00000 11110
00000 00001 11110
00000 00001 11110
00010 00000 11101
00010 00000 11101
00010 00000 11101
00010 00000 11101
00010 00000 11101
00010 00000 11101
00010 00000 11101
00010 00000 11101
00010 00000 11101
00010 00000 11101
00010 00000 11101
00010 00000 11101
00000 00010 11101
00000 00010 11101
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
00100 00000 11011
