0 1 1 0 UUUUU UUUUU UUUUU
1 0 1 0 00100 00000 11011
0 0 1 1 00100 00000 11011
1 0 1 1 00100 00000 11011
0 0 1 1 00100 00000 11011
1 0 1 1 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00100 00000 11011
0 0 0 0 00100 00000 11011
1 0 0 0 00100 00000 11011
0 0 0 1 00100 00000 11011
1 0 0 1 00100 00000 11011
0 0 0 1 00100 00000 11011
1 0 0 1 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00100 00000 11011
0 0 0 0 00100 00000 11011
1 0 0 0 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00000 00100 11011
0 0 1 1 00000 00100 11011
1 0 1 1 01000 00000 10111
0 0 0 1 01000 00000 10111
1 0 0 1 01000 00000 10111
0 0 1 1 01000 00000 10111
1 0 1 1 01000 00000 10111
0 0 1 0 01000 00000 10111
1 0 1 0 01000 00000 10111
0 0 0 1 01000 00000 10111
1 0 0 1 01000 00000 10111
0 0 1 1 01000 00000 10111
1 0 1 1 01000 00000 10111
0 0 1 0 01000 00000 10111
1 0 1 0 01000 00000 10111
0 0 1 0 01000 00000 10111
1 0 1 0 01000 00000 10111
0 0 1 1 01000 00000 10111
1 0 1 1 01000 00000 10111
0 0 1 1 01000 00000 10111
1 0 1 1 01000 00000 10111
0 0 0 1 01000 00000 10111
1 0 0 1 01000 00000 10111
0 0 0 0 01000 00000 10111
1 0 0 0 01000 00000 10111
0 0 1 1 01000 00000 10111
1 0 1 1 00000 01000 10111
0 0 1 0 00000 01000 10111
1 0 1 0 00001 00000 11110
0 0 0 0 00001 00000 11110
1 0 0 0 00001 00000 11110
0 0 0 1 00001 00000 11110
1 0 0 1 00001 00000 11110
0 0 0 0 00001 00000 11110
1 0 0 0 00001 00000 11110
0 0 1 1 00001 00000 11110
1 0 1 1 00001 00000 11110
0 0 1 0 00001 00000 11110
1 0 1 0 00001 00000 11110
0 0 0 1 00001 00000 11110
1 0 0 1 00001 00000 11110
0 0 1 0 00001 00000 11110
1 0 1 0 00001 00000 11110
0 0 0 1 00001 00000 11110
1 0 0 1 00001 00000 11110
0 0 0 0 00001 00000 11110
1 0 0 0 00001 00000 11110
0 0 0 1 00001 00000 11110
1 0 0 1 00001 00000 11110
0 0 1 1 00001 00000 11110
1 0 1 1 00001 00000 11110
0 0 1 1 00001 00000 11110
1 0 1 1 00000 00001 11110
0 0 0 1 00000 00001 11110
1 0 0 1 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00100 00000 11011
0 0 1 1 00100 00000 11011
1 0 1 1 00100 00000 11011
0 0 1 1 00100 00000 11011
1 0 1 1 00100 00000 11011
0 0 1 1 00100 00000 11011
1 0 1 1 00100 00000 11011
0 0 0 1 00100 00000 11011
1 0 0 1 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00100 00000 11011
0 0 0 0 00100 00000 11011
1 0 0 0 00100 00000 11011
0 0 1 0 00100 00000 11011
1 0 1 0 00100 00000 11011
0 0 1 1 00100 00000 11011
1 0 1 1 00100 00000 11011
0 0 1 1 00100 00000 11011
1 0 1 1 00100 00000 11011
0 0 1 1 00100 00000 11011
1 0 1 1 00000 00100 11011
0 0 0 0 00000 00100 11011
1 0 0 0 01000 00000 10111
0 0 0 0 01000 00000 10111
1 0 0 0 01000 00000 10111
0 0 1 0 01000 00000 10111
1 0 1 0 01000 00000 10111
0 0 1 0 01000 00000 10111
1 0 1 0 01000 00000 10111
0 0 1 0 01000 00000 10111
1 0 1 0 01000 00000 10111
0 0 1 1 01000 00000 10111
1 0 1 1 01000 00000 10111
0 0 1 0 01000 00000 10111
1 0 1 0 01000 00000 10111
0 0 1 0 01000 00000 10111
1 0 1 0 01000 00000 10111
